Position   Rating   Sudoku_in_suduku17C_list                                                                    Canonical_form                                                                              Sudoku_from_sudokugarden.de                                                                 Cmp    Date
   13105      376   __6___8__+2___4____+____15___+___9__3_8+1__3_____+4________+_3_8__9__+_____2_1_+_________   _________+_____1__2+__3_4__5_+______1_6+_2____7__+8___5____+___53__4_+_1_____3_+_7_______   63_______+5_______7+_____48__+__9_____6+________5+__24_9___+_7__6____+_________+__4__2_9_   PERM   2008-03-13
   18918      141   _5_3__2__+1__4_____+___1_7___+______5_2+4_____6__+7________+_9__6____+____8__4_+_______1_   _________+_____1__2+_34____5_+______3__+______546+____78___+___54____+2_8_____9+9________   _16______+__5_____6+__9__7_3_+_____8__5+________1+___7_3___+4___5____+____6____+8______2_   PERM   2008-03-14
   18437    20129   _5_____8_+_____3___+___4_____+3_42_____+____7__9_+6________+_____64_3+____1_2__+_7_5_____   ________1+_______2_+__3__4___+_____5__4+_6____7__+21_____8_+____8____+___12___6+__9___5__   __5______+_9_______+____4__3_+1___2____+________8+__7___5_9+6____7___+__3____1_+_8_9_5___   PERM   2008-03-15
   21636      141   _752_____+_______41+__1_8____+36___92__+4________+_______5_+9_____3__+___75____+_________   _________+_______12+__3__4___+_____5___+__6_734__+_1_______+___12___6+___8___9_+85_______   4_____6__+___65____+__7___31_+________5+____3____+_2___7_89+3_1______+_________+_____9__2   PERM   2008-03-16
   21156     3889   _7_3_____+5______2_+___8_____+___1__3__+2____5___+____7_8__+____4__7_+_31______+6_8______   _________+_______12+__3__4___+______5__+_____6__4+12_____7_+___27____+__58__3__+4___1____   __4______+____7___3+__9____1_+_3______7+1____4___+__6__9___+______69_+______4_8+5___1____   PERM   2008-03-17
    2112      141   _____56__+__3_8____+________2+___73_4__+52_______+_6_______+7__5_2___+______81_+___3_____   ________1+_______23+__4_56___+_____5___+___3_2_6_+_78______+____8_5__+__12_____+3________   ___7_____+4_____9__+_3___8___+_______73+_______8_+9_1__5___+____64___+__9______+_73_____1   PERM   2008-03-18
   35299      182   76__5_4__+1________+___2_____+__8_3___2+4____7___+___5_____+_328_____+______71_+_________   _________+_______12+__3_45___+___1_____+__4______+_6_2_7__8+__6______+_5__3_4__+2__8_____   __7______+________6+3____5_81+_1______5+__3______+9__7__4__+____61___+_________+__4___79_   PERM   2008-03-19
    3440      141   ____3___1+__47_____+2_____6__+_3_____7_+___8__5__+_1_______+_____2_3_+6__5_____+4___6____   ________1+_____2__3+__4_5____+____6__7_+__2___8__+_3_1_____+__5____6_+_6_____8_+7____3___   _____8__7+__1___5__+9__6_____+__4__3___+_______6_+____1__9_+__3_____8+8_______5+_7__9____   PERM   2008-03-20
    6536      255   ___1__7__+___2_5___+3_____8__+_2______5+9___7____+_______1_+_156_____+____9__4_+______3__   ________1+_____2__3+__4_5____+_____1___+___3___6_+_78___4__+____7__5_+1________+23______9   _____4__9+_37______+__6__1___+1_______2+____6____+___3___7_+2___5____+_____9___+__8___36_   PERM   2008-03-21
   30153      141   5_____74_+1__3_6___+_____9___+___14_2__+_2__8____+__6______+_______63+27_______+_________   _________+_______12+____34___+______3__+__5_____1+_671_____+___27__8_+34_____6_+9________   _2_______+_89_____6+____51__3+4______7_+______8__+5_6__7___+_______17+_________+___98____   PERM   2008-03-22
   34624      141   7__49____+______5_3+_________+35__2____+___6__21_+_8_______+4______9_+___8_5___+__1______   _________+_______12+__3_45___+_____67_8+_21_8____+_9_______+___2_9___+__5___4__+7________   _________+___9_3___+2_5_____1+__8_67___+_______4_+7______39+_34______+______6__+____2___5   PERM   2008-03-23
   16496      163   _3___1___+_______26+________5+___67____+_4____9__+5________+2__56____+__7___89_+___3_____   ________1+_______23+__4__5___+_____67__+____1____+38_______+___8__97_+13__2____+5________   ___3_____+___87____+_6_____9_+_____2_5_+________3+1_8______+____241__+__9______+8_3_____7   PERM   2008-03-24
    3418      181   ____28___+8___1____+______7__+___6__4_3+2____4___+1__7_____+_3_4__5__+_______1_+_6_______   _________+_______12+__3_45___+______4__+___1_____+_6_7___8_+___26__7_+3____7___+5_4______   _____1___+6_______4+74_______+_5______7+__1_____6+__89_5___+____6____+_______8_+__5__3_9_   PERM   2008-03-25
   35504      173   8_____2__+____5__4_+_____1___+__3____1_+7__8_____+___2_____+___32_6__+_15___3__+_4_______   _________+_____1__2+_34____5_+______1__+__356____+__5_____7+____8__6_+_7___3___+21_______   _6_______+3___5____+_____7__4+__4_____1+__7______+____6_9__+_____936_+_______5_+7_9__8___   PERM   2008-03-26
   18375      475   _5_____1_+2___9____+_____3___+___5___8_+___1__7__+3________+_6_47____+__5___3_9+______2__   ________1+_____1_2_+__3_4____+________5+_6____4_3+7____8___+____5__6_+___3_____+18_____9_   _9_______+2_______7+____6__3_+__6__1___+________9+__3_4____+___2_93__+_____7___+1_5____8_   PERM   2008-03-27
   22932      402   _9_5_____+_______1_+________4+___82_9__+7_____3__+__1______+4____1_6_+___6___7_+_2____5__   ________1+_______2_+__3__4___+_____5__6+__7___4__+_2__1___5+___7_83__+_6____9__+1________   ___5_____+____6____+__3____2_+_____9__1+______6__+7_4__2___+__8_1____+_____3_7_+_6__8___5   PERM   2008-03-28
   26584      141   25__7___6+8________+______3__+_93______+_______8_+____2____+__13__6__+___1_9___+4______7_   ________1+_______23+__4__5___+_____6___+____2__6_+_7____5__+___7_48__+1____9___+2______3_   _____9___+________4+1__8___37+____4____+7________+______92_+_26______+____1___5+__9__86__   PERM   2008-03-29
   21809    64582   _8_____52+_______83+____1____+6___7_4__+_2_3_____+_________+4__8_2___+___5__9__+1________   _________+_____1__2+__3_4__5_+_______6_+___2_7_3_+__8__9___+____6____+17_______+29______7   6________+___94____+___73__4_+__9____7_+_________+1____5__8+__3__2___+________6+_74_____5   PERM   2008-03-30
   19592      179   _6____1_4+3___8____+_________+_9_6__4__+______83_+____5____+___9_2__5+1_8____7_+_________   _________+_____1__2+_34____5_+_________+__678____+9_____1_3+_____6___+_4__5__8_+21_______   _________+4_______9+___5_6_8_+____94___+3________+__8__5_2_+____1_4_6+_________+_723_____   PERM   2008-03-31
   12701      893   __4___3_1+6___7____+_________+7_____26_+_____4_8_+___3_____+543______+___92____+_1_______   _________+_____1__2+_34____5_+______3__+______546+____78___+____4____+2_8_____1+9__5_____   _________+1_______8+___6_95__+_5__4____+__9______+____87__1+7_2______+_______6_+______953   PERM   2008-04-01
    8706      168   ___4_12__+8__6___4_+3_____5__+_4_1__7__+2___3____+_________+____2__8_+_1_______+_______3_   _________+_____1__2+__3_4__5_+_______4_+_1_______+_6___2___+__245____+__7_____1+_5__8___6   _____3__9+__8_5___4+_65__7___+9_______7+_________+__6__1_5_+_______6_+____9____+7___4____   PERM   2008-04-02
   22022      139   _8__3_5__+6______2_+_________+_1____3_8+___4_2___+___6_____+5_8______+___7___1_+39_______   _________+_____1__2+__3_4__5_+_______63+______5_4+_7___8___+___53__8_+_2_______+19_______   _________+____7___8+9____3_4_+_75______+__8______+___4_9_6_+__1_6____+_______29+______4_3   PERM   2008-04-03
    9373      140   ___5_1___+_24______+_3_9_____+9_____2_1+1__8_____+______3__+__6_2____+8______6_+_______8_   ________1+_______23+____45___+_____41_6+__75_____+_23______+___3_____+1________+86____4__   __2____9_+______57_+_63______+__4_____6+_____9___+___6_7__2+____8___4+____4____+7_____8__   PERM   2008-04-04
    4301      375   ____43__8+9___8__7_+1________+__29__5__+7________+______4__+___2___9_+_4_1_____+_3_______   ________1+_______23+__4_56___+________2+_____4_7_+_38______+___13____+__6______+7_____54_   ________6+4___1___2+59_4_____+________1+_____5___+__2__37__+__6____5_+_______9_+__7_2____   PERM   2008-04-05
    3852      140   ____369__+_____5_3_+4________+7__1__2__+___48____+_______6_+___2____1+83_______+_6_______   _________+_______12+__3__4__5+______6__+__7_8____+_1_2_____+___91____+4_6___7__+5___2____   ________5+_3__9____+98___2___+4_5______+____8____+__6__7__1+_______94+_______8_+__76_____   PERM   2008-04-06
   33581      140   63_7_____+___9__2__+______1__+3____5_8_+_4__2____+____1____+5_2___4__+___4___3_+_________   _________+_____1__2+_34____1_+_______5_+_____6_3_+2_7__8___+____5____+__24____9+1___3____   _____6___+__2__7___+__1____98+7______5_+6________+_3__4___9+__5_9____+_________+_____57_3   PERM   2008-04-07
   12156      142   __12__6__+3___7____+_________+8__43____+_6____5__+________1+_257_____+_____5_3_+_______8_   _________+_____1__2+__3_4__5_+_____6_71+__83_____+_4_______+___58__2_+1_____8__+6________   _________+1_______9+__7__86__+_____3_8_+___6_____+9_5_____4+_3__9____+____4____+__1___37_   PERM   2008-04-08
   16245      223   _3_____2_+5___6____+_____1___+6_4______+___3__5__+___9_____+____4__57+_8_2_____+__1___6__   ________1+_____2__3+__3____4_+_____56__+_4__3____+_7_____8_+____4___7+___8_____+9_5___2__   _6_______+8_______3+____7__9_+__9__3___+__2______+______5_8+__7____4_+_____86__+5__13____   PERM   2008-04-09
   31275      167   5_4___3__+__62_____+_________+42___1___+____5_7__+_8_____6_+8__73____+_______21+_________   _________+_______12+__3_45___+_________+_6___1___+_78___4__+____8_5__+1_72_____+3______6_   _________+__7___8__+_____95_3+3____1___+____8__4_+_6_____75+___67____+_________+9_1_____4   PERM   2008-04-10
   35161      393   73____5__+___1__8__+___9_____+_7__3___6+4______9_+_______1_+6_14_____+____2_4__+_________   _________+_____1__2+_34____1_+_______5_+_____6_3_+7_8__9___+____3____+__1_5____+8__4____7   __2______+__6__4___+_____3_91+____2___5+____6____+9__8___1_+7____5___+_________+__5___6_8   PERM   2008-04-11
    2760      410   ____1_7__+3______4_+8_7______+_____3_8_+_15______+___4_____+_2____5_1+6__8_____+___3_____   ________1+_____2___+_13____4_+____4___3+2________+5____6___+___6__5__+__731____+8_____2__   ______1_4+____5___9+6____1___+______36_+__5______+_9__4____+__4_____8+__9______+___6_3_7_   PERM   2008-04-12
   12258     3479   __179____+4______2_+___8__6__+___17____+_6_____5_+______3__+3____2___+_2______7+________9   ________1+_____2__3+__2_4____+_______4_+_____56__+37_______+____8_2__+_9_____5_+13_7_____   __4__8___+____7___5+2_1___6__+____3__8_+_____9___+1_6______+___1___7_+___2_____+_7______9   PERM   2008-04-13
   26842      167   3______2_+__6__4___+_________+654______+___98____+_1_______+8__72____+___3__4_6+______1__   _________+_____1__2+__3____4_+______5__+______621+___78____+___39__7_+_5_______+21__4____   _________+_5____8__+____7___9+4_2______+_______6_+______538+__98_5___+_____6___+7_1_____4   PERM   2008-04-14
   10702      360   ___7__1__+3______5_+_________+__725____+_____8_3_+_9____6__+___4__7_1+83__2____+_________   _________+_____1__2+__3____4_+_________+_____52_1+_36_7____+___6___3_+_8______9+1___47___   _________+____3___9+__1__6___+_4__9____+_____8_2_+3_7___1__+7______94+_________+__56_1___   PERM   2008-04-15
   10249      801   ___6_5___+_73______+____2____+4_51_____+6______8_+_______7_+52____4__+____37___+______1__   _________+_______12+____34___+_____54_6+__1__7___+__8___5__+_5_1_____+_6____3__+7__8_____   7________+______91_+_38______+____4___8+____1____+__6___3_5+91_______+_____6___+_____5_73   PERM   2008-04-16
   14686      434   _1_8_____+___2___7_+______9__+7______4_+____93___+____1____+2__6__3__+5___4____+______18_   _________+________1+__2_34___+_________+___1_5_6_+__78__2__+_____94_8+_5_______+16__7____   _____2___+__7_1____+__4____6_+29_______+6________+____5___1+5_______3+____46___+__8__9__7   PERM   2008-04-17
    4782      290   ____57_1_+_1____9__+____2____+___4__63_+5__8_____+2________+8___9___5+_3_6_____+_________   _________+_____1__2+__3_4__5_+_______6_+_____5_3_+12___7___+____6____+_8_93____+4_______8   7________+_____2_6_+31__6____+__4_____3+________7+__5_98___+__8____9_+_________+2__3____4   PERM   2008-04-18
   34203     4691   7____3___+8______1_+____6__4_+_____57_2+_1_______+___2_____+___41_9__+3_5______+_6_______   ________1+______23_+__4_56___+________5+_____7___+_782_____+___3___8_+5______9_+6___1____   8___5____+____6___4+_9______1+_______6_+__7______+_3_7_1___+______3_9+_______8_+6_5__2___   PERM   2008-04-19
   18924      200   _5_3__6__+1__4_____+___1_8___+______5_2+4_____7__+8________+_6__7____+____9__4_+_______1_   _________+_____1__2+_34____5_+______3__+______546+____78___+___54____+2_8_____1+9________   _46______+__5_____6+__9__8_3_+_____1__5+________4+___7_3___+2___5____+____6____+1______8_   PERM   2008-04-20
   34972     1901   7_5______+____8_2__+6________+2__5_6___+_1____8__+_______4_+_____7_65+_4_1_____+____3____   ________1+_______23+__4__5___+_____46__+____7____+12______5+__8______+_6____7__+3__21____   ________8+4____7___+______3_1+_____4_6_+____5____+_83_____7+__6____5_+9________+_1_38____   PERM   2008-04-21
   16794     2117   _3_5__1__+6__4_2___+_________+5______42+_1_7_____+____8____+2_9______+____3_7__+__4______   _________+_____1_23+__4_5___6+______7__+____4___8+23___6___+___3_____+___9_2___+__8___5__   _________+_75_____8+__3__6_9_+__1____6_+4________+___75___3+9____1___+______5__+______2_7   PERM   2008-04-22
   16795     8519   _3_5__1__+6__7_2___+_________+5______27+_1_8_____+____9____+2_7______+____3_8__+__4______   _________+_____1_23+__4_5___6+______7__+____4___8+23___6___+___3_2___+___9_____+__8___5__   _________+_71_____8+__3__6_9_+__4____6_+2________+___17___3+9____4___+______5__+______1_7   PERM   2008-04-23
   28307      239   4______1_+___2__3__+____5____+6___41___+______2_6+__3______+_2_6__5__+_8_7_____+_______4_   ________1+_____2__3+_45_6____+_______4_+_2__7__6_+3__1_____+______7__+___3____4+_68______   3________+__7__9___+____6___5+___8_7___+______9__+56______8+__1____4_+____5____+__8__3_7_   PERM   2008-04-24
   34766     1467   7__82____+3__6_____+______1_2+_15___9__+_2_______+___3_____+_4_____7_+6______8_+____1____   _________+_____1__2+__3____45+______2__+___56____+_7____1__+___4___36+_8_______+21__9____   ___7_6___+__8_____9+7_4_____1+_______7_+__9______+_____236_+____4___8+6________+____1__5_   PERM   2008-04-25
    8355      384   ___4____7+___93____+______1__+_8__21___+______4_3+_________+42_6_____+______58_+6______1_   _________+_______12+_____3__4+______35_+__5_2_6__+_7__8____+_____5___+8____4___+92______1   _____6___+9_2______+__51_____+___9_5___+_________+76_____4_+____43___+____6___8+__8____75   PERM   2008-04-26
   25892      205   2__5____3+_4___8___+_________+6__73____+______81_+5________+___46____+_89______+_1____4__   _________+_____1__2+__3_4__5_+_______4_+___36__7_+18_______+______9_1+___72____+2_______8   _________+_4_____5_+__39____7+____64___+________3+9_1_____8+______24_+_____5_6_+8_5______   PERM   2008-04-27
    3148      206   ____2_5__+_3______4+__19_____+___8__63_+4__5_____+2________+_____3_1_+86_______+____4____   ________1+_____2__3+_45__6___+_______46+____3____+__75_____+_____87__+_2__1____+3______5_   __2___6__+___5___9_+7____3___+__3_____5+________7+__4_98___+_______84+5________+_9__6____   PERM   2008-04-28
   20229      155   _6_7_2___+_5____3_8+______1__+8__63____+___9___5_+1________+_9_____4_+5___8____+_________   _________+_____1__2+__3____4_+________5+____67__1+__2_4____+___89__6_+_5_______+17_____2_   _____6___+___4_9_3_+_71____8_+__2_3____+________6+9_8_____4+4_______3+_________+____5__2_   PERM   2008-04-29
      40      141   _______15+___9___8_+3________+7_4___3__+___1__4__+___8_____+5___4_2__+____7__6_+_1_______   _________+_______12+__3_45___+______4__+___1_____+_6_2___7_+___61__8_+4_5_____9+7________   ________9+__2_4____+___36____+__6__5___+__4______+_____95_1+1___8____+_______6_+5____7__3   PERM   2008-04-30
    9422      297   ___5_23__+7______4_+_________+___14__6_+2_5_____8+3________+_7__6____+___3__2__+_1_______   _________+_____1__2+_34____5_+_____5___+____346__+27______8+___7_____+_5_____4_+8__1_____   _________+____5___1+_73__9___+___4__3_7+________9+5_6_8____+__9__7___+_______6_+8______1_   PERM   2008-05-01
   25154      565   2_____3__+___34____+___6_____+7____2___+_6_____3_+_______1_+_4_16____+______2_8+____5_7__   _________+_____1__2+__3____4_+________1+__546____+_74_3____+______56_+12___6___+8________   __8______+5_9______+_____9__7+____9__8_+____6____+_7______1+___4_7___+3____1___+8_6____5_   PERM   2008-05-02
   25756      276   2__1__9__+___9_3___+__6______+____85___+9_______2+____6____+1______8_+_2_4_____+______65_   ________1+_______23+__4__5___+______46_+__5_4_7__+_1_______+___21____+__73_____+5_____8__   ______8__+_92______+__6__2__7+___7____2+8________+43_______+__5____7_+____38___+____4___6   PERM   2008-05-03
   21699     8902   _78_2____+___3__4__+_________+15___6___+___4___78+_______2_+6_____3__+4__5_____+____8____   _________+_____1__2+_34____5_+_______3_+1_______6+7____2___+____5____+___34___1+8_6___7__   _________+__9__5___+7_____41_+__541____+____7____+_8_____36+__3_____5+4________+_____9__8   PERM   2008-05-04
   22184      171   _8_3__6__+___9___3_+_1_______+6____1___+____48___+_______5_+____7_1_4+3__5_____+2________   _________+_______12+__3_45___+_____67_5+_21______+_8_9_____+___1____3+___8_____+6_____5__   _______6_+__2_9____+__9__8_4_+54_______+____3____+_6______8+__3_____9+________7+1__5_6___   PERM   2008-05-05
   16828      140   _3_6___8_+7___4____+____1____+_68______+__5______+______7__+2__5__1__+1_____4_3+___8_____   _________+_______12+____345__+______3__+___6_____+__71_2___+___2_8_7_+_5____6__+43_______   6________+5_______1+__8_4__9_+______3__+_____1___+______48_+___9_5__6+__4______+__3__6__7   PERM   2008-05-06
     723     6697   _______91+_6__7____+_________+__5_3_76_+______3__+1________+3__1____4+_82______+___4_9___   _________+_______12+__3__4___+______5__+____1____+__56__3_4+___7_8___+_1__5__9_+29_______   _________+1______8_+___62____+_____9___+________6+9___813__+______74_+_25______+__65____9   PERM   2008-05-07
   11790      426   ___9_1___+5_4______+37_______+___5___41+_6_2_____+_______3_+_8____2__+4___3____+______9__   ________1+_______23+____45___+___2_____+__1______+__4___5_6+_3_______+26_3_____+7____89__   _______19+______5_3+_62______+__7____8_+____9____+__365____+9_______5+_____2___+_____7_4_   PERM   2008-05-08
   29605      216   42___7___+_______36+____1____+1_2___7__+_6_3_____+______4__+___62____+__85_____+7________   ________1+________2+____34___+_______3_+__5___6__+_712_____+___1___5_+_8__5____+3___6__4_   6________+___89____+_1_____75+__9____8_+_____5___+_____17_6+__3___4__+________1+7_8______   PERM   2008-05-09
   26470      140   23_____4_+___7_1___+_________+6_7___8__+____2____+1________+_4_63____+______1_2+__95_____   _________+_______12+__3_45___+______4__+____1____+_6_27____+_____35_7+___8____9+41_______   _________+_61______+____5__97+7________+________6+_____41_8+___7_6___+__3___2__+9_8____5_   PERM   2008-05-10
   24430      139   1_6_5__7_+___3_____+5________+_4____2_8+____1____+________3+43_2_____+___4___1_+______5__   _________+_____1__2+_34____5_+________6+__3___2_1+__5_3____+___57____+_1______8+2___4____   ________3+__9______+3___1_8_6+6________+___9_____+___4_7_5_+__5_6____+_____3___+__7____95   PERM   2008-05-11
   34113      141   7_____4__+_8___6___+____3____+5______36+___41____+_______8_+1_62_____+___7__9__+_3_______   ________1+_______23+__4__5___+____1____+___3__6__+_78___5__+_1_______+_6___8__9+3___2____   9________+_8_____4_+_____5__1+6_5______+____4____+___89___3+__1__2___+_______9_+__7___8_6   PERM   2008-05-12
    6179      271   ____9_6__+__1______+________8+7__5___1_+_8__4____+_______3_+64____5__+___1_92__+___3_____   ________1+_____2___+__3____4_+______5__+__6_1____+_7_8__2__+___46__7_+_5_______+32_____9_   ___4_____+______6__+2____8___+5______4_+____9____+__3_6___1+_26__7___+__9______+_____3_58   PERM   2008-05-13
   31381     1547   5_8_7_3__+4__9_____+6________+8_____73_+______2__+___4_____+_9_6____4+_1_______+____2____   _________+_____1__2+__3_4__5_+________6+___75____+_6____438+____3____+_9_______+12______9   ________8+__2_____5+1____94_3+_____7___+__5______+____91__4+_______6_+7________+__85___2_   PERM   2008-05-14
   21325      187   _7_8_9_4_+___1_____+3________+95___4___+____3_2__+______1__+4_2______+___26____+_______5_   _________+_______12+__3__4___+_____53__+_1_______+_4__6_7__+_____74__+1__2_8___+9______6_   ________9+__6______+_24_5__1_+9____7___+_____6___+_5_____32+8_7______+____3____+______7_5   PERM   2008-05-15
   23700      180   1___68_5_+_3____7__+_________+___1__3__+_9____8__+__4_2____+__5____2_+7__3_____+___9_____   _________+_____1__2+_34____5_+________3+__647____+1_______8+___5____6+_7_____4_+9____2___   _________+_____1_9_+84__3___6+_____4_2_+7_____5__+__6__9___+__9_____1+__2______+____7_3__   PERM   2008-05-16
   13425      149   __72___4_+_1____6__+___4_____+_8__31___+_______7_+______9__+7_4_5____+______3_8+2________   ________1+_______2_+__3_45___+______3_4+_6_______+72__8____+___7_____+__5_____9+2__6___7_   __5______+_____8_6_+__7_5_1__+____1____+_____2___+96_____4_+___4_9___+________7+3_____5_1   PERM   2008-05-17
   20303      283   _61______+____3___9+_______2_+9______3_+___6__8__+___5__7__+_5_1____6+3___2____+______4__   _________+_____1__2+_34____5_+_____6_3_+_78___9__+1___2____+___3___4_+___5_____+6_______1   ____7____+9__2_____+______68_+__8__4___+__3__1___+____9___2+7_______9+_____5___+__68___3_   PERM   2008-05-18
   17496      184   _4____6_8+___7_1___+__9______+____6_5__+1_3______+_______4_+7__3___1_+_2__5____+4________   ________1+_____2__3+__4_5____+_______4_+__6____7_+_2___3___+___6__8__+_9______5+5_74_____   ______2__+_61______+___4_8_5_+______9_6+____5____+8____3___+3______7_+________5+__9_6___1   PERM   2008-05-19
     942      154   ______2_4+_5_7_____+68_______+3______9_+____14___+____2____+2_1______+___8___5_+___6__7__   ________1+_______23+__4__5___+_____67__+____8_9__+_31______+___21____+6_____8__+7_9______   _______48+__1____3_+___5_7___+65_______+7________+____2___9+__4_3____+__8__1___+______6_7   PERM   2008-05-20
   14473      218   _1_4_____+______59_+_________+5_3_8____+___6___1_+________4+8___5_2__+9_____6__+___1____7   _________+_______12+__3__4___+______3__+__5_____4+_6_17____+___2___5_+__4___8__+_1_6___9_   _________+____23___+__5____6_+__8_6____+___5_____+4_____9_3+_____8__2+__61_____+3____7__4   PERM   2008-05-21
   17265      269   _38_5____+___4__2__+_________+____815__+46_____7_+2________+7__6____4+______3__+_______9_   _________+_____1__2+_34____5_+_____3___+____6____+7__2____8+_____594_+1________+28__7____   _________+__5__7___+3_____49_+____1__85+________7+46___3___+_____9___+____2____+__85____1   PERM   2008-05-22
   22855    11545   _9__4____+______5_1+_______37+____8_2__+3__7_____+1________+__6___8__+___1___9_+_2_3_____   _________+_____1__2+_34____5_+______34_+__6__7___+8________+___35____+_7__4____+2__9____6   ___19____+___6_3___+5______2_+__1_____9+________6+4____7___+__6_2____+__9____7_+_____48__   PERM   2008-05-23
    1163      870   ______34_+7__8_____+___5_____+25__4____+3______6_+___1____7+_____62__+_1______8+____3____   _________+_____1__2+__3____45+_____63__+_4__5____+_7_____8_+____8____+___4____7+2_6___1__   __3______+__4_____1+____59___+____8___9+__61_____+5______37+___4___6_+9________+_8___7___   PERM   2008-05-24
   18519      176   _5____3_9+___7_1___+__8______+____3_6__+4______5_+1_2______+78__6____+___2___1_+_________   _________+_____1__2+_34____5_+______1_3+__678____+4________+____5__8_+_9___6___+21_______   ______4__+_61______+___2_9_3_+____3___5+______7_6+9____8___+__7_6____+_________+8______41   PERM   2008-05-25
   12458      146   __27__8__+_____345_+____1____+5______39+4__9_____+________1+31_______+___6__7__+_________   _________+_______12+__3__4___+_____5__6+_1_______+25______7+____1____+__8__39__+7_62_____   6________+_9__35___+__1__47__+__2_____5+___6_____+___29___3+__8__1___+_________+_______69   PERM   2008-05-26
    2553      292   ____1__7_+_8____4__+3________+___3_9___+__1____2_+_7_4_____+6_____3_4+2__7_____+__5______   ________1+_____1__2+__3_4____+____5____+_6_______+12_____4_+___2___37+__5___8__+4____9___   ________9+_____5_4_+6___1____+____7_6__+__5____1_+_29______+__1_____7+______3__+___5_9__8   PERM   2008-05-27
   19722    51247   _6___1___+_______2_+______4__+___47_8__+_9______1+___8_____+4__73____+1_____59_+________6   _________+_______12+__3__4___+_____1___+_5______6+72______5+____8__3_+__1___4__+_7_2___9_   _____5___+____7____+_6_____8_+___6___2_+__4______+1_5__4___+____23__6+___8_____+9_1_____5   PERM   2008-05-28
    1958      141   _____358_+7__2_____+1________+___67__4_+_3_5_____+_________+____1_2__+6_______7+_8___4___   _________+_____1__2+__3____45+_____63__+_4__5____+7______8_+____4___7+____8____+2_6___1__   ________6+__7_____1+_9__43___+__3____9_+_________+1_8_5____+___1____8+_5_____4_+6____7___   PERM   2008-05-29
   23714    35499   1___7_2__+___4____8+_________+______93_+_5_8_____+__46_____+____21_4_+_86______+3________   _________+_____1__2+__3_4__5_+______67_+_1___8___+9____2___+___35_1__+__6______+28_______   _________+__54_____+1____7__6+__4____3_+__8___5__+____92___+______84_+________9+76__5____   PERM   2008-05-30
   26583      141   25__7____+___8__6__+_1____4__+_6_2___5_+8__9_____+_______1_+3_____9__+____1____+_____4___   _________+_______12+__3_45___+_________+___1_2_4_+__67__8__+____8_37_+_2_9_____+5________   _____5_6_+__4__8___+1______37+__2_____4+____6____+__7_3__8_+6________+_5_______+_____2__9   PERM   2008-05-31
   20329      237   _61______+___4___5_+_________+5___2__4_+7____6___+____1____+___3__1_6+___5__2__+48_______   _________+_______12+__3__4___+______3_5+__4_6____+__721____+_1_______+_6___34__+2_____8__   _________+__5_3____+______68_+_8______1+6________+7___5___3+__3__7___+_______45+__98_6___   PERM   2008-06-01
   18478      310   _5____2__+___76____+_______3_+____5_8__+__1___5__+7____2___+4__1___7_+___8____6+_8_______   ________1+_____2_3_+__4_5____+_______6_+_3_5_1___+_7____4__+___7_____+__6___5_4+8____3___   ____9____+8_1______+_____7_3_+_____36__+_7______1+3____4___+__48_____+_______4_+__6_1___5   PERM   2008-06-02
   29828      201   49____7__+____31___+_______5_+_8_72____+5______1_+_________+6_____2__+1_3______+___4____8   _________+_____1__2+_34____5_+______6_1+____3___7+__85_____+_____2___+____4__98+16_______   ____3____+96_______+_____1_25+____6___3+_________+7_1____4_+______9_6+__54_____+_____7__8   PERM   2008-06-03
   21379      201   _71______+____3__9_+_________+64___2_8_+___1_____+3________+___58_1_7+4_____5__+_2_______   _________+_______12+__3__4___+________5+____6_7__+_6821____+______3__+_1_______+5____89_7   _________+9___2____+______61_+__6______+________9+_7__4__58+_____3__5+_______7_+4_31_6___   PERM   2008-06-04
   25348      606   2_____73_+___8_1___+_4_______+__5___2__+___4____1+6___3____+____2__4_+_1______8+5________   ________1+_____2__3+__4_5____+___4___6_+__2____5_+_3___1___+___7_____+_1____2__+7___8__4_   _______5_+_64______+____91__7+__56_____+9_______8+_____73__+___4___6_+________3+7___5____   PERM   2008-06-05
    4332    19245   ____46___+1______8_+____3____+2_____6_5+_5_8_____+______3__+_13______+___5___7_+4_6______   ________1+_______23+__4__5___+_____14__+_3_______+26_______+____7_1__+___32____+__76____8   9________+____4___6+58_______+__4____3_+_____9___+___3_8__7+__3_1____+______8_5+______96_   PERM   2008-06-06
    4060      246   ____4_2__+8__7_____+1________+_27____6_+___1_85__+___3_____+_____5_31+_6__2____+_________   _________+_____1__2+_34____5_+______3__+_1__62___+5_____47_+___4_____+___7__6__+2_______8   ________6+__1_____4+5____7___+_46__3___+__9______+____8_17_+7______8_+_________+_3_69____   PERM   2008-06-07
   34799      142   7_1______+____6_2__+_______8_+___3_1___+2______6_+___7_____+68__4____+___1____3+_5____7__   ________1+_______23+__4__5___+_____6___+____4_5__+_21______+___3____2+6_5___7__+8___1____   ____4____+8____7___+______6_1+____8___7+__1______+_69______+__69_____+_____1_3_+5______48   PERM   2008-06-08
   17191      147   _36___7__+____21___+_________+______32_+4_1______+2________+___83__6_+5_______4+_9_7_____   _________+_______12+__3_45___+_____63__+_4____7_5+8__9_____+___2_____+___81____+_25______   _________+76_______+_____189_+______6_5+________7+____79___+___5____3+__1____2_+9_4_8____   PERM   2008-06-09
